name,model,base_risk_pct,year,cagr_pct,mdd_pct,return_pct
binance_cap4_risk200,binance_cap4,2.0,2021,18.448040812938004,-24.385461120493936,18.434315563516847
binance_cap4_risk200,binance_cap4,2.0,2022,11.64753346787859,-26.99177633510378,11.639114239241287
binance_cap4_risk200,binance_cap4,2.0,2023,22.064541112125635,-23.62543506587167,22.04788434521612
binance_cap4_risk200,binance_cap4,2.0,2024,79.47341470542271,-18.437258902625565,79.68908065987776
binance_cap4_risk200,binance_cap4,2.0,2025,90.0747663451764,-19.7933967913942,89.99122891828641
binance_cap4_risk200,binance_cap4,2.0,2026,-2.2874859693901683,-25.617706417126495,-1.5277452232851707
binance_cap6_risk200,binance_cap6,2.0,2021,26.202810122023457,-28.234170665993062,26.182709107048964
binance_cap6_risk200,binance_cap6,2.0,2022,22.956165235753257,-34.337293381749,22.93877437713274
binance_cap6_risk200,binance_cap6,2.0,2023,19.024695130277692,-25.732766126439333,19.010507449547887
binance_cap6_risk200,binance_cap6,2.0,2024,69.22081158216666,-25.092968158374372,69.40369461298724
binance_cap6_risk200,binance_cap6,2.0,2025,105.42505293769278,-24.217942255157965,105.32385421026858
binance_cap6_risk200,binance_cap6,2.0,2026,-8.249121066299347,-30.369255489735725,-5.566807380080208
zero_fee_cap4_risk200,zero_fee_cap4,2.0,2021,23.400446218118233,-23.40696316140376,23.382687921587795
zero_fee_cap4_risk200,zero_fee_cap4,2.0,2022,21.089041457696855,-23.990999822940605,21.07318273526346
zero_fee_cap4_risk200,zero_fee_cap4,2.0,2023,35.288479404676835,-21.303649039824435,35.26049497466843
zero_fee_cap4_risk200,zero_fee_cap4,2.0,2024,88.98496687447633,-17.455015203573375,89.23212716137417
zero_fee_cap4_risk200,zero_fee_cap4,2.0,2025,102.29666480451023,-18.88749382728292,102.19913105917216
zero_fee_cap4_risk200,zero_fee_cap4,2.0,2026,7.754587757264408,-23.38243713842334,5.094368364002211
zero_fee_cap6_risk200,zero_fee_cap6,2.0,2021,30.929234069920586,-27.146235911846006,30.90508592102468
zero_fee_cap6_risk200,zero_fee_cap6,2.0,2022,35.65764187232203,-30.95039167768676,35.62932811124195
zero_fee_cap6_risk200,zero_fee_cap6,2.0,2023,33.340023774938366,-23.404806951625424,33.313766110819664
zero_fee_cap6_risk200,zero_fee_cap6,2.0,2024,79.82445497393644,-23.656863981624387,80.0412651541756
zero_fee_cap6_risk200,zero_fee_cap6,2.0,2025,120.85827963461506,-23.106549437627443,120.738532993375
zero_fee_cap6_risk200,zero_fee_cap6,2.0,2026,2.391501100841009,-27.95889975308349,1.5847593533773408
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,2021,16.394629080642954,-24.80147744258323,16.382534848639118
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,2022,8.03110481635052,-28.210999882733056,8.025392923827646
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,2023,17.017278129780998,-24.586709611950752,17.004691927344375
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,2024,67.4504226377504,-19.217673133235667,67.62777226367231
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,2025,85.41072594104708,-20.17321314462922,85.33238986076668
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,2026,-6.305409263748252,-26.577616349186506,-4.2405301448644295
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,2021,23.601371479118495,-28.68355780376565,23.583446649995942
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,2022,18.04522339317551,-35.74382032820475,18.031820033073465
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,2023,13.608835901507188,-26.702996912528366,13.598914722047972
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,2024,57.24803229618727,-26.02417488754464,57.394258315615886
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,2025,99.10807444477831,-24.70430733101282,99.01424216960133
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,2026,-12.468847757574054,-31.38422863831384,-8.47896166806541
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,2021,21.262310282146977,-23.828123862320215,21.24631020188248
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,2022,17.16947179241859,-25.259281734892657,17.156764992920447
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,2023,29.699655060701314,-22.29314295982048,29.676571176173795
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,2024,76.68262116555593,-18.146369149516627,76.8892410008513
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,2025,96.9308110807205,-19.27124708546566,96.8394862540636
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,2026,3.328788226234458,-24.370214920917675,2.202477314715523
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,2021,28.243419026709194,-27.601992550783383,28.22158527243652
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,2022,30.244238650758138,-32.42832317850741,30.22068437990544
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,2023,27.285989586716287,-24.403909110744582,27.26497160004797
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,2024,67.44541503390724,-24.515469256648082,67.6227490628994
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,2025,114.07327670122069,-23.599266853161804,113.96177837887804
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,2026,-2.3133282462779126,-29.00812457126246,-1.5450724773362068
