name,model,total_risk_cap_pct,base_risk_pct,month,equity_end,return_pct,intramonth_mdd_pct,worst_underwater_pct,underwater_end_pct
binance_cap4_risk200,binance_cap4,4,2.0,2021-01,101354.77826072746,1.3547782607274517,-2.946670905614568,-2.946670905614568,-1.7799256629532856
binance_cap4_risk200,binance_cap4,4,2.0,2021-02,104064.84054552436,2.6738377127376145,-7.655691604955328,-7.655691604955328,-7.655691604955328
binance_cap4_risk200,binance_cap4,4,2.0,2021-03,106458.62026046788,2.3002771179919668,-7.163725645704466,-8.662974517614897,-5.53151660917619
binance_cap4_risk200,binance_cap4,4,2.0,2021-04,101827.18543197542,-4.350455432506006,-5.647200045705092,-9.64132587685832,-9.64132587685832
binance_cap4_risk200,binance_cap4,4,2.0,2021-05,115762.26131499837,13.68502509806886,-8.464064985919473,-10.218407512902738,-8.464064985919473
binance_cap4_risk200,binance_cap4,4,2.0,2021-06,112993.0419517356,-2.3921607368462605,-10.48483563718251,-14.881360008931466,-10.653751683431413
binance_cap4_risk200,binance_cap4,4,2.0,2021-07,117406.79708120073,3.9062185186150122,-8.545250751393896,-16.557695267542627,-7.163691986001863
binance_cap4_risk200,binance_cap4,4,2.0,2021-08,113374.2318895692,-3.4346948318865422,-6.95331841667125,-11.142778793338815,-10.352335859472927
binance_cap4_risk200,binance_cap4,4,2.0,2021-09,133939.1974746089,18.139012050878335,-6.9635001619069214,-10.9556733754539,-6.9635001619069214
binance_cap4_risk200,binance_cap4,4,2.0,2021-10,125081.01999802398,-6.6135811200930705,-10.165351328837446,-13.116544549994469,-13.116544549994469
binance_cap4_risk200,binance_cap4,4,2.0,2021-11,119084.3788753792,-4.794205485963832,-10.308426859975873,-18.930497197083195,-17.28191593757358
binance_cap4_risk200,binance_cap4,4,2.0,2021-12,118434.31556351684,-0.5458846223169611,-9.887441220306247,-24.385461120493936,-17.733461238345583
binance_cap4_risk200,binance_cap4,4,2.0,2022-01,130531.89848620792,10.214592675383095,-6.772173543915516,-21.222065508518895,-9.330269395706436
binance_cap4_risk200,binance_cap4,4,2.0,2022-02,133706.6340009161,2.432153022767536,-1.5819875424371022,-9.817492653514591,-7.125042802078918
binance_cap4_risk200,binance_cap4,4,2.0,2022-03,127160.1646274267,-4.896144026364868,-6.158851091768769,-12.233847371081996,-11.67233447091387
binance_cap4_risk200,binance_cap4,4,2.0,2022-04,128576.35197925956,1.1137036162089275,-10.224210898236086,-16.600400604837017,-10.688626065803518
binance_cap4_risk200,binance_cap4,4,2.0,2022-05,121948.39825992256,-5.15487771842068,-5.15487771842068,-15.29251818075279,-15.29251818075279
binance_cap4_risk200,binance_cap4,4,2.0,2022-06,142934.47281763417,17.208979254472535,-7.700208553497944,-18.32782788724099,-5.941298299847054
binance_cap4_risk200,binance_cap4,4,2.0,2022-07,144749.66006568552,1.2699436407949571,-5.442931026437936,-10.86667867752733,-4.7468057989916606
binance_cap4_risk200,binance_cap4,4,2.0,2022-08,151368.3846024316,4.57253200715122,-3.0902375332954923,-7.2439674860581675,-3.0902375332954923
binance_cap4_risk200,binance_cap4,4,2.0,2022-09,138865.02878490352,-8.260216194001192,-9.433988006402005,-11.095193426138316,-11.095193426138316
binance_cap4_risk200,binance_cap4,4,2.0,2022-10,129979.10825350932,-6.398962077887981,-10.882362241036425,-17.258512829514927,-16.784178284219387
binance_cap4_risk200,binance_cap4,4,2.0,2022-11,128866.68902606762,-0.8558446371797368,-9.186394697350087,-18.83097916987063,-17.496376431658945
binance_cap4_risk200,binance_cap4,4,2.0,2022-12,132219.02085041808,2.601395170223042,-11.509070138694478,-26.99177633510378,-15.35013115289312
binance_cap4_risk200,binance_cap4,4,2.0,2023-01,129421.75779990524,-2.115628320737173,-2.5877572234892954,-17.141007751689386,-17.141007751689386
binance_cap4_risk200,binance_cap4,4,2.0,2023-02,131512.40168701188,1.6153728110685384,-3.939263114068814,-18.13363439149418,-15.802526119384797
binance_cap4_risk200,binance_cap4,4,2.0,2023-03,139109.8613361002,5.7769910302220895,-14.725160283491457,-27.38061057720418,-10.938445605628067
binance_cap4_risk200,binance_cap4,4,2.0,2023-04,148676.90956701135,6.877332878505582,-5.016287402532116,-14.14161513244082,-4.813386043155798
binance_cap4_risk200,binance_cap4,4,2.0,2023-05,152567.88086223564,2.6170649541720215,-9.390222928605162,-10.634171808346549,-6.781313347902296
binance_cap4_risk200,binance_cap4,4,2.0,2023-06,170110.68406427687,11.498359355126553,-9.674797564742265,-9.974859330565023,-7.870840276248082
binance_cap4_risk200,binance_cap4,4,2.0,2023-07,159607.66273157598,-6.174227909595775,-8.178120586565708,-15.40527405384623,-13.559104568788038
binance_cap4_risk200,binance_cap4,4,2.0,2023-08,169297.85936268224,6.071260279904589,-14.184294081648051,-23.62543506587167,-10.320806524738813
binance_cap4_risk200,binance_cap4,4,2.0,2023-09,170774.9038290772,0.8724531260792423,-8.802166592162376,-13.574084284595756,-9.538397597821247
binance_cap4_risk200,binance_cap4,4,2.0,2023-10,173995.08885048504,1.8856312896131433,-5.273254873771305,-9.69856977294552,-7.832625317840325
binance_cap4_risk200,binance_cap4,4,2.0,2023-11,161370.51764989545,-7.255705482261032,-8.764556326167828,-14.520018575509852,-14.520018575509852
binance_cap4_risk200,binance_cap4,4,2.0,2023-12,161370.51764989545,0.0,0.0,-14.520018575509852,-14.520018575509852
binance_cap4_risk200,binance_cap4,4,2.0,2024-01,182171.78203847515,12.890374705068176,-8.039997655659414,-15.298512855822521,-6.210659033872156
binance_cap4_risk200,binance_cap4,4,2.0,2024-02,206116.13048852305,13.14382951196622,-9.512092434776577,-11.824592745341022,-2.7420357001491924
binance_cap4_risk200,binance_cap4,4,2.0,2024-03,202993.9293242111,-1.5147776920282352,-3.1337154005957712,-4.841242754519648,-4.215277647084125
binance_cap4_risk200,binance_cap4,4,2.0,2024-04,220870.79082185152,8.806599072767574,-7.36779547932116,-7.376336143234019,-4.492887525588429
binance_cap4_risk200,binance_cap4,4,2.0,2024-05,203206.67679311175,-7.997487564114881,-13.900463341167058,-13.900463341167058,-13.900463341167058
binance_cap4_risk200,binance_cap4,4,2.0,2024-06,214259.8362625814,5.439368254972776,-5.269245036051052,-18.437258902625565,-9.21719247646785
binance_cap4_risk200,binance_cap4,4,2.0,2024-07,285569.5969054237,33.281907559870525,-6.422516894757113,-10.112150014609878,-4.603337712751776
binance_cap4_risk200,binance_cap4,4,2.0,2024-08,282986.8717056014,-0.9044118238811127,-7.166246783573326,-10.047487824914402,-5.46611640606558
