symbol,side,entry_ms,exit_ms,entry_price,initial_qty,initial_risk,signal_ms,entry_equity,requested_risk_pct,gross_pnl,fees,funding_pnl,net_pnl,r_multiple,bars,partial_taken,reason,fills,mfe_r,mae_r
XRPUSDT,SHORT,1670400000000,1670458500000,0.37691145000000004,373309.0086003475,2567.2301095413945,1670385600000,128457.5862058229,2.0,-2638.8659444609743,0.0,-72.2346221604497,-2711.100566621424,-1.0560411225099453,5,False,STOP,"[{""time_ms"": 1670400000000, ""role"": ""ENTRY"", ""qty"": 373309.0086003475, ""price"": 0.37691145000000004, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1670458500000, ""role"": ""STOP"", ""qty"": 373309.0086003475, ""price"": 0.383980301497463, ""fee"": 0.0, ""gross_pnl"": -2638.8659444609743}]",0.13253681258419886,-1.088933619921401
BNBUSDT,SHORT,1670400000000,1670486400000,282.408725,680.0971775130895,2571.0733386915213,1670385600000,128553.66693457606,2.0,-2668.3915637496666,0.0,0.0,-2668.3915637496666,-1.037851205406561,7,False,STOP,"[{""time_ms"": 1670400000000, ""role"": ""ENTRY"", ""qty"": 680.0971775130895, ""price"": 282.408725, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1670486400000, ""role"": ""STOP"", ""qty"": 680.0971775130895, ""price"": 286.3322695344843, ""fee"": 0.0, ""gross_pnl"": -2668.3915637496666}]",0.36734383987760605,-1.061057560931808
BCHUSDT,SHORT,1670803200000,1670813400000,106.04695,983.7438960651293,1227.44840227039,1670788800000,123024.69534558471,1.0000000000000002,1175.900606592119,0.0,0.0,1175.900606592119,0.9580041038116763,1,True,BE_AFTER_TP,"[{""time_ms"": 1670803200000, ""role"": ""ENTRY"", ""qty"": 983.7438960651293, ""price"": 106.04695, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1670813400000, ""role"": ""TP2R"", ""qty"": 491.87194803256466, ""price"": 103.60326242777796, ""fee"": 0.0, ""gross_pnl"": 1201.9813665318195}, {""time_ms"": 1670813400000, ""role"": ""BE_AFTER_TP"", ""qty"": 491.87194803256466, ""price"": 106.09997347499998, ""fee"": 0.0, ""gross_pnl"": -26.08075993970066}]",3.5880711786682538,-0.44324434388645684
LINKUSDT,SHORT,1670803200000,1670841900000,6.690653,11111.168462324922,1230.618844264281,1670788800000,123061.8844264281,1.0,1301.6791140487742,0.0,-1.7279985858741018,1299.9511154629001,1.05633935440024,3,True,STOP,"[{""time_ms"": 1670803200000, ""role"": ""ENTRY"", ""qty"": 11111.168462324922, ""price"": 6.690653, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1670813400000, ""role"": ""TP2R"", ""qty"": 5555.584231162461, ""price"": 6.472377322757467, ""fee"": 0.0, ""gross_pnl"": 1212.6489105349253}, {""time_ms"": 1670841900000, ""role"": ""STOP"", ""qty"": 5555.584231162461, ""price"": 6.674627646084122, ""fee"": 0.0, ""gross_pnl"": 89.03020351384882}]",2.3263302859098767,-0.1927405177246803
SOLUSDT,SHORT,1670817600000,1670837400000,12.943525,5859.467755515346,1303.9354793666932,1670803200000,130393.54793666932,1.0,-1342.5085307964725,0.0,-21.781575678095205,-1364.2901064745677,-1.0462865134532484,2,False,STOP,"[{""time_ms"": 1670817600000, ""role"": ""ENTRY"", ""qty"": 5859.467755515346, ""price"": 12.943525, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1670837400000, ""role"": ""STOP"", ""qty"": 5859.467755515346, ""price"": 13.172642828924445, ""fee"": 0.0, ""gross_pnl"": -1342.5085307964725}]",0.12368852027010285,-1.183972129996978
BNBUSDT,SHORT,1670817600000,1670847600000,282.568645,440.0085599271459,1303.5560788295236,1670803200000,130355.60788295236,1.0,1242.0415455854363,0.0,0.0,1242.0415455854363,0.9528102133516789,3,True,BE_AFTER_TP,"[{""time_ms"": 1670817600000, ""role"": ""ENTRY"", ""qty"": 440.0085599271459, ""price"": 282.568645, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1670847600000, ""role"": ""TP2R"", ""qty"": 220.00427996357294, ""price"": 276.78182711882977, ""fee"": 0.0, ""gross_pnl"": 1273.1247012271867}, {""time_ms"": 1670847600000, ""role"": ""BE_AFTER_TP"", ""qty"": 220.00427996357294, ""price"": 282.7099293225, ""fee"": 0.0, ""gross_pnl"": -31.08315564175036}]",3.1285828091016,-0.47977097176886435
XRPUSDT,SHORT,1670803200000,1670873400000,0.38030975,295888.9857458756,1231.7417480420497,1670788800000,123174.17480420496,1.0000000000000002,1388.2921802434623,0.0,-4.029446980341851,1384.2627332631205,1.1238254572953421,5,True,STOP,"[{""time_ms"": 1670803200000, ""role"": ""ENTRY"", ""qty"": 295888.9857458756, ""price"": 0.38030975, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1670813400000, ""role"": ""TP2R"", ""qty"": 147944.4928729378, ""price"": 0.37217004010622834, ""fee"": 0.0, ""gross_pnl"": 1204.2252523668828}, {""time_ms"": 1670873400000, ""role"": ""STOP"", ""qty"": 147944.4928729378, ""price"": 0.37906558792068107, ""fee"": 0.0, ""gross_pnl"": 184.0669278765794}]",2.596717996082154,-0.5501638234489358
ADAUSDT,SHORT,1670803200000,1670880000000,0.30694645,364685.758636865,1231.1788192466681,1670788800000,123117.8819246668,1.0000000000000002,1175.8249091667228,0.0,2.2856570719967895,1178.1105662387197,0.9568963889092733,6,True,STOP,"[{""time_ms"": 1670803200000, ""role"": ""ENTRY"", ""qty"": 364685.758636865, ""price"": 0.30694645, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1670813400000, ""role"": ""TP2R"", ""qty"": 182342.8793184325, ""price"": 0.3003445488815623, ""fee"": 0.0, ""gross_pnl"": 1203.8096589115046}, {""time_ms"": 1670880000000, ""role"": ""STOP"", ""qty"": 182342.8793184325, ""price"": 0.30709992322499996, ""fee"": 0.0, ""gross_pnl"": -27.98474974478166}]",2.0279773930379226,-0.2232079931239853
DOGEUSDT,SHORT,1670817600000,1670879100000,0.08736629500000001,297726.1971169878,757.4751549458387,1670803200000,130293.41047296386,1.0,-770.8595099065863,0.0,-4.294054143391379,-775.1535640499776,-1.0233385992777584,5,False,STOP,"[{""time_ms"": 1670817600000, ""role"": ""ENTRY"", ""qty"": 297726.1971169878, ""price"": 0.08736629500000001, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1670879100000, ""role"": ""STOP"", ""qty"": 297726.1971169878, ""price"": 0.08995545079942631, ""fee"": 0.0, ""gross_pnl"": -770.8595099065863}]",0.26974878201123076,-1.027318777328473
BNBUSDT,SHORT,1670860800000,1670919600000,275.84201,351.2302472417287,1288.3680842423562,1670846400000,128836.80842423563,0.9999999999999999,3065.3719987621043,0.0,0.0,3065.3719987621043,2.379267257745477,5,True,STOP,"[{""time_ms"": 1670860800000, ""role"": ""ENTRY"", ""qty"": 351.2302472417287, ""price"": 275.84201, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1670902800000, ""role"": ""TP2R"", ""qty"": 175.61512362086435, ""price"": 268.6399466021343, ""fee"": 0.0, ""gross_pnl"": 1264.791253941495}, {""time_ms"": 1670919600000, ""role"": ""STOP"", ""qty"": 175.61512362086435, ""price"": 265.5890163642817, ""fee"": 0.0, ""gross_pnl"": 1800.5807448206092}]",5.589183812704434,-0.45199523703411165
ETHUSDT,LONG,1671004800000,1671068400000,1323.791565,96.45104763703048,2607.6073939916964,1670990400000,130380.36969958481,2.0,-2670.1441319433343,0.0,-25.52310632569602,-2695.6672382690303,-1.0337703614739844,5,False,STOP,"[{""time_ms"": 1671004800000, ""role"": ""ENTRY"", ""qty"": 96.45104763703048, ""price"": 1323.791565, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1671068400000, ""role"": ""STOP"", ""qty"": 96.45104763703048, ""price"": 1296.1076341629628, ""fee"": 0.0, ""gross_pnl"": -2670.1441319433343}]",1.1321549513482325,-1.5679932740811535
