time_ms,equity,cash,positions,gross,initial_risk,short_initial_risk,short_gross
1609473600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609488000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609502400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609516800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609531200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609545600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609560000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609574400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609588800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609603200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609617600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609632000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609646400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609660800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609675200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609689600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609704000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609718400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609732800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609747200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609761600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609776000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609790400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609804800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609819200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609833600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609848000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609862400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609876800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609891200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609905600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609920000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609934400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609948800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609963200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609977600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1609992000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610006400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610020800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610035200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610049600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610064000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610078400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610092800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610107200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610121600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610136000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610150400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610164800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610179200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610193600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610208000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610222400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610236800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610251200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610265600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610280000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610294400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610308800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610323200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610337600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610352000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610366400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610380800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610395200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610409600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610424000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610438400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610452800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610467200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610481600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610496000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610510400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610524800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610539200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610553600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610568000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610582400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610596800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610611200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610625600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610640000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610654400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610668800000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610683200000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610697600000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610712000000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610726400000,100000.0,100000.0,0,0.0,0.0,0.0,0.0
1610740800000,99915.52681153547,99991.04291865745,1,17989.67879221978,1000.0,1000.0,17989.67879221978
1610755200000,99575.48199248951,99991.04291865745,1,18329.723611265737,1000.0,1000.0,18329.723611265737
1610769600000,99613.8721556262,99996.73646457818,1,18297.02699404978,1000.0,1000.0,18297.02699404978
1610784000000,99483.08568676238,99996.73646457818,1,18427.81346291361,1000.0,1000.0,18427.81346291361
1610798400000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1610812800000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1610827200000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1610841600000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1610856000000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1610870400000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1610884800000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1610899200000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1610913600000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1610928000000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1610942400000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1610956800000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1610971200000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1610985600000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611000000000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611014400000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611028800000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611043200000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611057600000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611072000000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611086400000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611100800000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611115200000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611129600000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611144000000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611158400000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611172800000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611187200000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611201600000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611216000000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611230400000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611244800000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611259200000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611273600000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611288000000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611302400000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611316800000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611331200000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611345600000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611360000000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611374400000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611388800000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611403200000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611417600000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611432000000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611446400000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611460800000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611475200000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611489600000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611504000000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611518400000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611532800000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611547200000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611561600000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611576000000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611590400000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611604800000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611619200000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611633600000,98998.55368246588,98998.55368246588,0,0.0,0.0,0.0,0.0
1611648000000,98470.95114798236,98969.34590507213,1,58913.94954457338,1979.9710736493175,1979.9710736493175,58913.94954457338
1611662400000,98607.71644568237,98995.49545071699,1,58803.33379251823,1979.9710736493175,1979.9710736493175,58803.33379251823
1611676800000,99249.28780760225,98995.49545071699,1,58161.76243059836,1979.9710736493175,1979.9710736493175,58161.76243059836
1611691200000,98359.91225549979,99013.16906546678,1,59068.81159745059,1979.9710736493175,1979.9710736493175,59068.81159745059
1611705600000,98005.9418489233,99013.16906546678,1,59422.782004027074,1979.9710736493175,1979.9710736493175,59422.782004027074
1611720000000,98863.45663291203,99030.00413383634,1,58582.10228840792,1979.9710736493175,1979.9710736493175,58582.10228840792
1611734400000,99106.81128743335,99030.00413383634,1,58338.747633886596,1979.9710736493175,1979.9710736493175,58338.747633886596
1611748800000,101645.09868432584,99046.2523838714,1,55816.70848702916,1979.9710736493175,1979.9710736493175,55816.70848702916
1611763200000,102273.3996949267,101007.16127031602,1,27941.53896913112,989.9855368246588,989.9855368246588,27941.53896913112
1611777600000,102198.762822385,101009.95542421294,1,28018.969995569732,989.9855368246588,989.9855368246588,28018.969995569732
1611792000000,102486.3637777284,101009.95542421294,1,27731.369040226335,989.9855368246588,989.9855368246588,27731.369040226335
1611806400000,101892.41809931365,101013.334806896,1,28328.694101324152,989.9855368246588,989.9855368246588,28328.694101324152
1611820800000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1611835200000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1611849600000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1611864000000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1611878400000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1611892800000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1611907200000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1611921600000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1611936000000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1611950400000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1611964800000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1611979200000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1611993600000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612008000000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612022400000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612036800000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612051200000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612065600000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612080000000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612094400000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612108800000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612123200000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612137600000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612152000000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612166400000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612180800000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612195200000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612209600000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612224000000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612238400000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612252800000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612267200000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612281600000,101354.77826072746,101354.77826072746,0,0.0,0.0,0.0,0.0
1612296000000,103865.73428935104,101335.23709167939,1,41612.83529381268,2027.0955652145492,0.0,0.0
1612310400000,103730.8719263336,101335.23709167939,1,41477.97293079524,2027.0955652145492,0.0,0.0
1612324800000,104381.88393028581,101272.27187965692,1,42191.95014676991,2027.0955652145492,0.0,0.0
1612339200000,104580.75804370097,101272.27187965692,1,42390.82426018508,2027.0955652145492,0.0,0.0
1612353600000,104295.18616477512,101206.36425530106,1,42171.16000561509,2027.0955652145492,0.0,0.0
1612368000000,105937.06020702799,101206.36425530106,1,43813.03404786796,2027.0955652145492,0.0,0.0
1612382400000,106258.52843192237,101108.99413458405,2,91821.36044644882,4144.398088359964,0.0,0.0
1612396800000,108573.33974820409,101108.99413458405,2,94136.17176273055,4144.398088359964,0.0,0.0
1612411200000,107911.67518279325,101028.3008516675,2,93555.20048023625,4144.398088359964,0.0,0.0
1612425600000,108746.07964773635,101028.3008516675,2,94389.60494517935,4144.398088359964,0.0,0.0
1612440000000,106643.47545680264,100930.32791564036,2,92384.97369027277,4144.398088359964,0.0,0.0
1612454400000,104773.74567253944,100930.32791564036,2,90515.2439060096,4144.398088359964,0.0,0.0
1612468800000,107899.1734626612,100838.30743658781,2,93732.6921751839,4144.398088359964,0.0,0.0
1612483200000,105516.44825945461,100838.30743658781,2,91349.96697197731,4144.398088359964,0.0,0.0
1612497600000,107346.5669468487,100761.63734631875,2,93256.75574964046,4144.398088359964,0.0,0.0
1612512000000,108311.82170524349,100761.63734631875,2,94222.01050803525,4144.398088359964,0.0,0.0
1612526400000,108217.21624170129,100644.8165124263,2,94244.22587838549,4144.398088359964,0.0,0.0
1612540800000,110733.54395164296,100644.8165124263,2,96760.55358832717,4144.398088359964,0.0,0.0
