symbol,side,entry_ms,exit_ms,entry_price,initial_qty,initial_risk,signal_ms,entry_equity,requested_risk_pct,gross_pnl,fees,funding_pnl,net_pnl,r_multiple,bars,partial_taken,reason,fills,mfe_r,mae_r
XRPUSDT,SHORT,1610726400000,1610791500000,0.2739452,65393.23443191487,1000.0,1610712000000,100000.0,1.0,-1003.7828325370192,18.416054101366313,20.752569104261955,-1001.4463175341235,-1.0014463175341235,5,False,STOP,"[{""time_ms"": 1610726400000, ""role"": ""ENTRY"", ""qty"": 65393.23443191487, ""price"": 0.2739452, ""fee"": 8.957081342548904, ""gross_pnl"": 0.0}, {""time_ms"": 1610791500000, ""role"": ""STOP"", ""qty"": 65393.23443191487, ""price"": 0.2892951492914993, ""fee"": 9.458972758817412, ""gross_pnl"": -1003.7828325370192}]",0.8138318811520663,-1.0302573298279332
XRPUSDT,SHORT,1611633600000,1611814200000,0.26404718,221231.50411030184,1979.9710736493175,1611619200000,98998.55368246588,2.0,2330.3949202097097,57.25035732737876,83.08001537923128,2356.224578261562,1.1900297987276982,13,True,STOP,"[{""time_ms"": 1611633600000, ""role"": ""ENTRY"", ""qty"": 221231.50411030184, ""price"": 0.26404718, ""fee"": 29.207777393741807, ""gross_pnl"": 0.0}, {""time_ms"": 1611758100000, ""role"": ""TP2R"", ""qty"": 110615.75205515092, ""price"": 0.24619686957223344, ""fee"": 13.616625940678253, ""gross_pnl"": 1974.5255123852999}, {""time_ms"": 1611814200000, ""role"": ""STOP"", ""qty"": 110615.75205515092, ""price"": 0.2608300124518647, ""fee"": 14.425953992958698, ""gross_pnl"": 355.86940782440996}]",2.2399659487931878,-0.8103917774333446
ETHUSDT,LONG,1612281600000,1612670400000,1428.68568,27.355448887918456,2027.0955652145492,1612267200000,101354.77826072746,2.0,5449.442754347907,41.80705947331498,-846.5839819221387,4561.051712952452,2.2500427662223745,27,False,BB_MID,"[{""time_ms"": 1612281600000, ""role"": ""ENTRY"", ""qty"": 27.355448887918456, ""price"": 1428.68568, ""fee"": 19.54116904807051, ""gross_pnl"": 0.0}, {""time_ms"": 1612670400000, ""role"": ""BB_MID"", ""qty"": 27.355448887918456, ""price"": 1627.894356, ""fee"": 22.265890425244468, ""gross_pnl"": 5449.442754347907}]",4.568081437798181,-0.05945420439207107
BTCUSDT,LONG,1612368000000,1612713600000,36898.47822,1.2897412128821795,2117.302523145415,1612353600000,105865.12615727074,2.0,1366.7627808521218,48.272869443395535,-461.86899891388964,856.6209124948365,0.4045812552200904,24,False,BB_MID,"[{""time_ms"": 1612368000000, ""role"": ""ENTRY"", ""qty"": 1.2897412128821795, ""price"": 36898.47822, ""fee"": 23.79474402648474, ""gross_pnl"": 0.0}, {""time_ms"": 1612713600000, ""role"": ""BB_MID"", ""qty"": 1.2897412128821795, ""price"": 37958.196842000005, ""fee"": 24.4781254169108, ""gross_pnl"": 1366.7627808521218}]",2.4937861190180723,-0.4053717771678692
ETHUSDT,LONG,1613664000000,1613860800000,1911.402204,27.138592535653192,2135.4490177234957,1613649600000,106772.45088617477,2.0000000000000004,-2145.3964810371717,50.800067345586875,-511.4137922676632,-2707.6103406504217,-1.267934901830099,14,False,STOP,"[{""time_ms"": 1613664000000, ""role"": ""ENTRY"", ""qty"": 27.138592535653192, ""price"": 1911.402204, ""fee"": 25.93638279305273, ""gross_pnl"": 0.0}, {""time_ms"": 1613860800000, ""role"": ""STOP"", ""qty"": 27.138592535653192, ""price"": 1832.3488603817314, ""fee"": 24.863684552534146, ""gross_pnl"": -2145.3964810371717}]",1.7359683589469241,-1.5174362559446113
BTCUSDT,LONG,1615291200000,1615795200000,54310.86,1.0281318465638856,2081.2968109104872,1615276800000,104064.84054552436,2.0,3608.674439459135,57.64306200000224,-782.6373218150651,2768.3940556440675,1.3301293891057286,35,False,BB_MID,"[{""time_ms"": 1615291200000, ""role"": ""ENTRY"", ""qty"": 1.0281318465638856, ""price"": 54310.86, ""fee"": 27.919362390136335, ""gross_pnl"": 0.0}, {""time_ms"": 1615795200000, ""role"": ""BB_MID"", ""qty"": 1.0281318465638856, ""price"": 57820.793528, ""fee"": 29.723699609865903, ""gross_pnl"": 3608.674439459135}]",3.7736295338501957,-0.6174135582248798
BCHUSDT,SHORT,1616328000000,1616419500000,520.875804,76.8473747487472,1068.0290335655209,1616313600000,106802.9033565521,1.0,-1076.2482269937454,40.56606222103987,61.894103608167356,-1054.920185606618,-0.9877261314562393,7,False,STOP,"[{""time_ms"": 1616328000000, ""role"": ""ENTRY"", ""qty"": 76.8473747487472, ""price"": 520.875804, ""fee"": 20.0139690537715, ""gross_pnl"": 0.0}, {""time_ms"": 1616419500000, ""role"": ""STOP"", ""qty"": 76.8473747487472, ""price"": 534.8808136768113, ""fee"": 20.552093167268374, ""gross_pnl"": -1076.2482269937454}]",0.5213538188986072,-1.3026424290097913
ETHUSDT,SHORT,1616457600000,1616517000000,1681.3236680000002,26.710798334239325,1078.9499788156081,1616443200000,107894.99788156082,1.0,-1088.147668297475,45.45357126468029,23.999696940542687,-1109.6015426216127,-1.0284086977226243,5,False,STOP,"[{""time_ms"": 1616457600000, ""role"": ""ENTRY"", ""qty"": 26.710798334239325, ""price"": 1681.3236680000002, ""fee"": 22.45474871526578, ""gross_pnl"": 0.0}, {""time_ms"": 1616517000000, ""role"": ""STOP"", ""qty"": 26.710798334239325, ""price"": 1722.0617865197537, ""fee"": 22.998822549414516, ""gross_pnl"": -1088.147668297475}]",0.7115865743629131,-1.019868332886282
LTCUSDT,SHORT,1616328000000,1616551800000,194.51109000000002,222.75271337069324,1068.3323460116844,1616313600000,106833.23460116844,1.0,1455.8481814018644,42.599948987490194,122.87121374578876,1536.1194461601629,1.4378666450518218,16,True,STOP,"[{""time_ms"": 1616328000000, ""role"": ""ENTRY"", ""qty"": 222.75271337069324, ""price"": 194.51109000000002, ""fee"": 21.663936539095562, ""gross_pnl"": 0.0}, {""time_ms"": 1616450400000, ""role"": ""TP2R"", ""qty"": 111.37635668534662, ""price"": 184.9559810267409, ""fee"": 10.299861656961248, ""gross_pnl"": 1064.213225173066}, {""time_ms"": 1616551800000, ""role"": ""STOP"", ""qty"": 111.37635668534662, ""price"": 190.99476958977849, ""fee"": 10.636150791433382, ""gross_pnl"": 391.63495622879844}]",2.760834431810134,-0.9839166721631716
LINKUSDT,SHORT,1616457600000,1616587800000,27.277543400000003,1299.867642015137,1078.6355943662022,1616443200000,107863.55943662021,1.0000000000000002,-762.2239285504999,35.838307983598824,72.49332000220491,-725.5689165318938,-0.672672884449203,10,False,STOP,"[{""time_ms"": 1616457600000, ""role"": ""ENTRY"", ""qty"": 1299.867642015137, ""price"": 27.277543400000003, ""fee"": 17.728598009661788, ""gross_pnl"": 0.0}, {""time_ms"": 1616587800000, ""role"": ""STOP"", ""qty"": 1299.867642015137, ""price"": 27.86392920107191, ""fee"": 18.109709973937036, ""gross_pnl"": -762.2239285504999}]",1.1659900382244621,-0.8236360117373062
