symbol,side,entry_ms,exit_ms,entry_price,initial_qty,initial_risk,signal_ms,entry_equity,requested_risk_pct,gross_pnl,fees,funding_pnl,net_pnl,r_multiple,bars,partial_taken,reason,fills,mfe_r,mae_r
LINKUSDT,SHORT,1765756800000,1765764000000,13.2603665,41632.868503166814,11991.737363461598,1765742400000,599586.8681730799,2.0,-12273.766779542475,558.2039781880696,0.0,-12831.970757730545,-1.070067694847046,1,False,STOP,"[{""time_ms"": 1765756800000, ""role"": ""ENTRY"", ""qty"": 41632.868503166814, ""price"": 13.2603665, ""fee"": 276.03354739914914, ""gross_pnl"": 0.0}, {""time_ms"": 1765764000000, ""role"": ""STOP"", ""qty"": 41632.868503166814, ""price"": 13.555176039213203, ""fee"": 282.17043078892044, ""gross_pnl"": -12273.766779542475}]",0.03251857933639454,-1.0992869898371573
BNBUSDT,SHORT,1765814400000,1765886400000,858.7604050000001,849.2073726979651,11191.244534566851,1765800000000,559562.2267283426,2.0,-7653.446430151494,733.0923905221663,0.0,-8386.53882067366,-0.7493839308729086,6,False,STOP,"[{""time_ms"": 1765814400000, ""role"": ""ENTRY"", ""qty"": 849.2073726979651, ""price"": 858.7604050000001, ""fee"": 364.6328336535452, ""gross_pnl"": 0.0}, {""time_ms"": 1765886400000, ""role"": ""STOP"", ""qty"": 849.2073726979651, ""price"": 867.7728637659152, ""fee"": 368.45955686862106, ""gross_pnl"": -7653.446430151494}]",1.3658960440310892,-0.7307072099834038
ETHUSDT,SHORT,1766505600000,1766522400000,2925.926305,215.68755624298703,11023.513758153378,1766491200000,551175.6879076689,2.0,-11344.568462268699,636.758178703657,0.0,-11981.326640972355,-1.0868881650472422,2,False,STOP,"[{""time_ms"": 1766505600000, ""role"": ""ENTRY"", ""qty"": 215.68755624298703, ""price"": 2925.926305, ""fee"": 315.54294723626134, ""gross_pnl"": 0.0}, {""time_ms"": 1766522400000, ""role"": ""STOP"", ""qty"": 215.68755624298703, ""price"": 2978.5235371253816, ""fee"": 321.2152314673957, ""gross_pnl"": -11344.568462268699}]",0.3648361172894342,-1.1491913941052718
SOLUSDT,SHORT,1766505600000,1766522700000,123.22835500000001,4739.28406875109,11010.888883255953,1766491200000,550544.4441627976,2.0,-11308.401417532494,589.66838037867,0.0,-11898.069797911165,-1.0805730512823837,2,False,STOP,"[{""time_ms"": 1766505600000, ""role"": ""ENTRY"", ""qty"": 4739.28406875109, ""price"": 123.22835500000001, ""fee"": 292.00708983495184, ""gross_pnl"": 0.0}, {""time_ms"": 1766522700000, ""role"": ""STOP"", ""qty"": 4739.28406875109, ""price"": 125.61445409291902, ""fee"": 297.6612905437181, ""gross_pnl"": -11308.401417532494}]",0.2274134686757966,-1.0207985462758973
XRPUSDT,SHORT,1766548800000,1766677800000,1.8596697000000002,335235.85914214,10198.125762686082,1766534400000,529313.255119161,2.0,-9829.805794559175,628.3428724973855,57.9984096978674,-10400.150257358693,-1.0198099630631932,9,False,STOP,"[{""time_ms"": 1766548800000, ""role"": ""ENTRY"", ""qty"": 335235.85914214, ""price"": 1.8596697000000002, ""fee"": 311.71398480005297, ""gross_pnl"": 0.0}, {""time_ms"": 1766677800000, ""role"": ""STOP"", ""qty"": 335235.85914214, ""price"": 1.8889917594590133, ""fee"": 316.6288876973326, ""gross_pnl"": -9829.805794559175}]",0.7780775016689708,-0.9904522891517953
SOLUSDT,SHORT,1766548800000,1766679900000,122.59867,4562.549856860499,10597.455151480244,1766534400000,529872.7575740122,2.0,-8265.148731911815,563.4951186257434,143.01804605835892,-8685.6258044792,-0.8195954293107811,10,False,STOP,"[{""time_ms"": 1766548800000, ""role"": ""ENTRY"", ""qty"": 4562.549856860499, ""price"": 122.59867, ""fee"": 279.6812721298938, ""gross_pnl"": 0.0}, {""time_ms"": 1766679900000, ""role"": ""STOP"", ""qty"": 4562.549856860499, ""price"": 124.41018965265297, ""fee"": 283.81384649584965, ""gross_pnl"": -8265.148731911815}]",0.8992405132469651,-0.7841419295494755
BNBUSDT,SHORT,1766505600000,1766715600000,843.7779,1070.845499743959,10963.214392983333,1766491200000,549960.2839065444,2.0,-727.84261286642,903.9196883048414,0.0,-1631.7623011712615,-0.14883976931214815,15,False,STOP,"[{""time_ms"": 1766505600000, ""role"": ""ENTRY"", ""qty"": 1070.845499743959, ""price"": 843.7779, ""fee"": 451.7778834992041, ""gross_pnl"": 0.0}, {""time_ms"": 1766715600000, ""role"": ""STOP"", ""qty"": 1070.845499743959, ""price"": 844.4575896592837, ""fee"": 452.1418048056373, ""gross_pnl"": -727.84261286642}]",1.6817796377166634,-0.650728841753764
XRPUSDT,SHORT,1767211200000,1767228600000,1.82638635,502313.0063403521,10551.14826895648,1767196800000,527557.413447824,2.0,-11015.132652194628,922.9251845335798,-176.1479504452346,-12114.205787173443,-1.1481409869687624,2,False,STOP,"[{""time_ms"": 1767211200000, ""role"": ""ENTRY"", ""qty"": 502313.0063403521, ""price"": 1.82638635, ""fee"": 458.70880910374126, ""gross_pnl"": 0.0}, {""time_ms"": 1767228600000, ""role"": ""STOP"", ""qty"": 502313.0063403521, ""price"": 1.8483151722943825, ""fee"": 464.2163754298386, ""gross_pnl"": -11015.132652194628}]",0.7515474833172112,-1.0575346899561637
DOGEUSDT,SHORT,1767196800000,1767255300000,0.12103945,6008276.817869551,10131.575062115528,1767182400000,506578.7531057764,2.0,15730.221531339615,719.3734107170108,-42.79743697236936,14968.050683650235,1.4773666080429577,5,True,STOP,"[{""time_ms"": 1767196800000, ""role"": ""ENTRY"", ""qty"": 6008276.817869551, ""price"": 0.12103945, ""fee"": 363.61926074134027, ""gross_pnl"": 0.0}, {""time_ms"": 1767199200000, ""role"": ""TP2R"", ""qty"": 3004138.4089347753, ""price"": 0.11772574408363187, ""fee"": 176.8322147610322, ""gross_pnl"": 9954.831219275919}, {""time_ms"": 1767255300000, ""role"": ""STOP"", ""qty"": 3004138.4089347753, ""price"": 0.11911697189616605, ""fee"": 178.9219352146383, ""gross_pnl"": 5775.390312063698}]",3.379916064349461,-0.26125714273292083
ETHUSDT,LONG,1767412800000,1767801600000,3125.4719549999995,179.02385974945213,10188.651960045063,1767398400000,509432.59800225316,2.0,6530.124434901883,562.7991151402168,-420.77872569107956,5546.546594070587,0.5443847346853583,27,False,BB_MID,"[{""time_ms"": 1767412800000, ""role"": ""ENTRY"", ""qty"": 179.02385974945213, ""price"": 3125.4719549999995, ""fee"": 279.76702646138295, ""gross_pnl"": 0.0}, {""time_ms"": 1767801600000, ""role"": ""BB_MID"", ""qty"": 179.02385974945213, ""price"": 3161.9482350000003, ""fee"": 283.0320886788339, ""gross_pnl"": 6530.124434901883}]",3.2071833699457573,-0.8952720812970012
LTCUSDT,SHORT,1768176000000,1768187700000,78.72062000000001,5005.216797030084,5149.7914459632375,1768161600000,514979.1445963238,0.9999999999999999,-5349.373226434473,396.68845610983965,0.0,-5746.061682544312,-1.1157853172963874,1,False,STOP,"[{""time_ms"": 1768176000000, ""role"": ""ENTRY"", ""qty"": 5005.216797030084, ""price"": 78.72062000000001, ""fee"": 197.00688474831122, ""gross_pnl"": 0.0}, {""time_ms"": 1768187700000, ""role"": ""STOP"", ""qty"": 5005.216797030084, ""price"": 79.7893795449629, ""fee"": 199.68157136152846, ""gross_pnl"": -5349.373226434473}]",1.011405754578328,-1.0879546554552832
LTCUSDT,SHORT,1768190400000,1768194300000,79.170395,4562.581747696616,5092.330829137795,1768176000000,509233.0829137795,1.0000000000000002,-5275.487694144852,363.8591430320039,0.0,-5639.346837176856,-1.1074195739422685,1,False,STOP,"[{""time_ms"": 1768190400000, ""role"": ""ENTRY"", ""qty"": 4562.581747696616, ""price"": 79.170395, ""fee"": 180.61069959246572, ""gross_pnl"": 0.0}, {""time_ms"": 1768194300000, ""role"": ""STOP"", ""qty"": 4562.581747696616, ""price"": 80.32664555853698, ""fee"": 183.24844343953814, ""gross_pnl"": -5275.487694144852}]",0.22434670783318203,-1.0837712395557342
LTCUSDT,SHORT,1768204800000,1768322100000,78.51072500000001,4219.3701847179245,5035.937360766025,1768190400000,503593.73607660265,1.0,6351.5938953092955,328.0900152979336,40.77222127637778,6064.276101287739,1.2042000658175962,9,True,STOP,"[{""time_ms"": 1768204800000, ""role"": ""ENTRY"", ""qty"": 4219.3701847179245, ""price"": 78.51072500000001, ""fee"": 165.6329061227941, ""gross_pnl"": 0.0}, {""time_ms"": 1768222500000, ""role"": ""TP2R"", ""qty"": 2109.6850923589623, ""price"": 76.16173040628847, ""fee"": 80.33863362320454, ""gross_pnl"": 4955.638876385029}, {""time_ms"": 1768322100000, ""role"": ""STOP"", ""qty"": 2109.6850923589623, ""price"": 77.84903618967459, ""fee"": 82.11847555193492, ""gross_pnl"": 1395.9550189242661}]",2.740383479534063,-0.3848044768554303
